,Time,Distance
140,212366664000.0000000000000000,24812287565303.0859375000000000
141,212366707200.0000000000000000,24641026347950.4921875000000000
142,212366750400.0000000000000000,24469499547086.6210937500000000
143,212366793600.0000000000000000,24297704403096.9257812500000000
144,212366836800.0000000000000000,24125638114195.3906250000000000
145,212366880000.0000000000000000,23953297835717.8203125000000000
146,212366923200.0000000000000000,23780680679415.1367187500000000
147,212366966400.0000000000000000,23607783712739.5156250000000000
148,212367009600.0000000000000000,23434603958136.0585937500000000
149,212367052800.0000000000000000,23261138392329.4882812500000000
150,212367096000.0000000000000000,23087383945614.6640625000000000
151,212367139200.0000000000000000,22913337501149.9804687500000000
152,212367182400.0000000000000000,22738995894256.4921875000000000
153,212367225600.0000000000000000,22564355911725.8125000000000000
154,212367268800.0000000000000000,22389414291137.0781250000000000
155,212367312000.0000000000000000,22214167720184.8281250000000000
156,212367355200.0000000000000000,22038612836026.0820312500000000
157,212367398400.0000000000000000,21862746224645.5859375000000000
158,212367441600.0000000000000000,21686564420241.6640625000000000
159,212367484800.0000000000000000,21510063904640.9101562500000000
160,212367528000.0000000000000000,21333241106744.5351562500000000
161,212367571200.0000000000000000,21156092402012.0625000000000000
162,212367614400.0000000000000000,20978614111983.9375000000000000
163,212367657600.0000000000000000,20800802503858.8203125000000000
164,212367700800.0000000000000000,20622653790118.8437500000000000
165,212367744000.0000000000000000,20444164128226.1054687500000000
166,212367787200.0000000000000000,20265329620387.5390625000000000
167,212367830400.0000000000000000,20086146313398.7617187500000000
168,212367873600.0000000000000000,19906610198587.6250000000000000
169,212367916800.0000000000000000,19726717211854.7031250000000000
170,212367960000.0000000000000000,19546463233837.6796875000000000
171,212368003200.0000000000000000,19365844090200.5273437500000000
172,212368046400.0000000000000000,19184855552079.0390625000000000
173,212368089600.0000000000000000,19003493336686.4960937500000000
174,212368132800.0000000000000000,18821753108110.5390625000000000
175,212368176000.0000000000000000,18639630478314.8710937500000000
176,212368219200.0000000000000000,18457121008378.6562500000000000
177,212368262400.0000000000000000,18274220209994.7070312500000000
178,212368305600.0000000000000000,18090923547261.3750000000000000
179,212368348800.0000000000000000,17907226438803.0976562500000000
180,212368392000.0000000000000000,17723124260255.2734375000000000
181,212368435200.0000000000000000,17538612347154.2753906250000000
182,212368478400.0000000000000000,17353685998291.0019531250000000
183,212368521600.0000000000000000,17168340479568.6074218750000000
184,212368564800.0000000000000000,16982571028433.1933593750000000
185,212368608000.0000000000000000,16796372858941.1347656250000000
186,212368651200.0000000000000000,16609741167537.1582031250000000
187,212368694400.0000000000000000,16422671139632.6914062500000000
188,212368737600.0000000000000000,16235157957071.3535156250000000
189,212368780800.0000000000000000,16047196806595.5820312500000000
190,212368824000.0000000000000000,15858782889426.9023437500000000
191,212368867200.0000000000000000,15669911432100.4335937500000000
192,212368910400.0000000000000000,15480577698699.0078125000000000
193,212368953600.0000000000000000,15290777004663.0742187500000000
194,212368996800.0000000000000000,15100504732364.0253906250000000
195,212369040000.0000000000000000,14909756348662.5175781250000000
196,212369083200.0000000000000000,14718527424693.5742187500000000
197,212369126400.0000000000000000,14526813658161.7617187500000000
198,212369169600.0000000000000000,14334610898459.0136718750000000
199,212369212800.0000000000000000,14141915174961.8046875000000000
200,212369256000.0000000000000000,13948722728921.9394531250000000
201,212369299200.0000000000000000,13755030049406.5195312500000000
202,212369342400.0000000000000000,13560833913820.7519531250000000
203,212369385600.0000000000000000,13366131433611.8945312500000000
204,212369428800.0000000000000000,13170920105848.1503906250000000
205,212369472000.0000000000000000,12975197871455.7519531250000000
206,212369515200.0000000000000000,12778963181017.2265625000000000
207,212369558400.0000000000000000,12582215069168.8750000000000000
208,212369601600.0000000000000000,12384953238786.3710937500000000
209,212369644800.0000000000000000,12187178156327.1777343750000000
210,212369688000.0000000000000000,11988891159908.2910156250000000
211,212369731200.0000000000000000,11790094581945.3203125000000000
212,212369774400.0000000000000000,11590791888453.6132812500000000
213,212369817600.0000000000000000,11390987837459.2597656250000000
214,212369860800.0000000000000000,11190688659344.5136718750000000
215,212369904000.0000000000000000,10989902262417.2851562500000000
216,212369947200.0000000000000000,10788638467528.7695312500000000
217,212369990400.0000000000000000,10586909276201.1875000000000000
218,212370033600.0000000000000000,10384729177456.7792968750000000
219,212370076800.0000000000000000,10182115499435.4550781250000000
220,212370120000.0000000000000000,9979088812908.3964843750000000
221,212370163200.0000000000000000,9775673395017.1660156250000000
222,212370206400.0000000000000000,9571897763012.1269531250000000
223,212370249600.0000000000000000,9367795289464.4843750000000000
224,212370292800.0000000000000000,9163404912416.8496093750000000
225,212370336000.0000000000000000,8958771956321.8105468750000000
226,212370379200.0000000000000000,8753949082363.9521484375000000
227,212370422400.0000000000000000,8548997390041.2773437500000000
228,212370465600.0000000000000000,8343987695666.8671875000000000
229,212370508800.0000000000000000,8139002017828.5517578125000000
230,212370552000.0000000000000000,7934135304969.2568359375000000
231,212370595200.0000000000000000,7729497445919.5546875000000000
232,212370638400.0000000000000000,7525215610702.2587890625000000
233,212370681600.0000000000000000,7321436975882.0400390625000000
234,212370724800.0000000000000000,7118331896072.5927734375000000
235,212370768000.0000000000000000,6916097590427.8847656250000000
236,212370811200.0000000000000000,6714962419234.1943359375000000
237,212370854400.0000000000000000,6515190829797.9355468750000000
238,212370897600.0000000000000000,6317089050595.0869140625000000
239,212370940800.0000000000000000,6121011604920.3271484375000000
240,212370984000.0000000000000000,5927368695265.0517578125000000
241,212371027200.0000000000000000,5736634470537.8193359375000000
242,212371070400.0000000000000000,5549356120360.7099609375000000
243,212371113600.0000000000000000,5366163631313.2246093750000000
244,212371156800.0000000000000000,5187779873275.8564453125000000
245,212371200000.0000000000000000,5015030441985.0693359375000000
246,212371243200.0000000000000000,4848852350402.2236328125000000
247,212371286400.0000000000000000,4690300229098.2451171875000000
248,212371329600.0000000000000000,4540548179875.1669921875000000
249,212371372800.0000000000000000,4400884885208.4160156250000000
250,212371416000.0000000000000000,4272699135055.6708984375000000
251,212371459200.0000000000000000,4157452807429.8999023437500000
252,212371502400.0000000000000000,4056638829567.3715820312500000
253,212371545600.0000000000000000,3971723073847.2778320312500000
254,212371588800.0000000000000000,3904071700119.8125000000000000
255,212371632000.0000000000000000,3854868983545.5371093750000000
256,212371675200.0000000000000000,3825034448357.5722656250000000
257,212371718400.0000000000000000,3815150901326.7797851562500000
258,212371761600.0000000000000000,3825415313468.4882812500000000
259,212371804800.0000000000000000,3855621606349.0317382812500000
260,212371848000.0000000000000000,3905178678810.0795898437500000
261,212371891200.0000000000000000,3973160180964.5683593750000000
262,212371934400.0000000000000000,4058376873530.0898437500000000
263,212371977600.0000000000000000,4159459596655.7343750000000000
264,212372020800.0000000000000000,4274941298176.4350585937500000
265,212372064000.0000000000000000,4403329385369.4169921875000000
266,212372107200.0000000000000000,4543163452034.9208984375000000
267,212372150400.0000000000000000,4693056942577.8466796875000000
268,212372193600.0000000000000000,4851723845082.9931640625000000
269,212372236800.0000000000000000,5017992907187.5244140625000000
270,212372280000.0000000000000000,5190812340546.4726562500000000
271,212372323200.0000000000000000,5369247843939.6250000000000000
272,212372366400.0000000000000000,5552476329704.7509765625000000
273,212372409600.0000000000000000,5739777196159.9003906250000000
274,212372452800.0000000000000000,5930522474334.8681640625000000
275,212372496000.0000000000000000,6124166747350.8730468750000000
276,212372539200.0000000000000000,6320237409598.7373046875000000
277,212372582400.0000000000000000,6518325592896.6708984375000000
278,212372625600.0000000000000000,6718077921630.6875000000000000
279,212372668800.0000000000000000,6919189150690.3906250000000000
280,212372712000.0000000000000000,7121395672945.7998046875000000
281,212372755200.0000000000000000,7324469844443.3310546875000000
282,212372798400.0000000000000000,7528215055816.7353515625000000
283,212372841600.0000000000000000,7732461470940.5800781250000000
284,212372884800.0000000000000000,7937062353709.9863281250000000
285,212372928000.0000000000000000,8141890907992.6093750000000000
286,212372971200.0000000000000000,8346837562125.5390625000000000
287,212373014400.0000000000000000,8551807636526.9580078125000000
288,212373057600.0000000000000000,8756719340334.8271484375000000
289,212373100800.0000000000000000,8961502049945.0644531250000000
290,212373144000.0000000000000000,9166094828731.4199218750000000
291,212373187200.0000000000000000,9370445152965.6855468750000000
292,212373230400.0000000000000000,9574507813980.4843750000000000
293,212373273600.0000000000000000,9778243971028.1230468750000000
294,212373316800.0000000000000000,9981620333054.9980468750000000
295,212373360000.0000000000000000,10184608450850.1074218750000000
