,Time,SunDist,EarthDist,Phase
47,212363654700.0000000000000000,36214567454837.5000000000000000,29219536953547.7226562500000000,0.4151422705501193
48,212363655000.0000000000000000,36213472809247.2031250000000000,29218472648538.3632812500000000,0.4151562331841352
49,212363655299.9999694824218750,36212378156758.2031250000000000,29217408394392.2421875000000000,0.4151719411474031
50,212363655600.0000305175781250,36211283497370.5000000000000000,29216344191111.8867187500000000,0.4151859037814191
51,212363655900.0000305175781250,36210188831069.2031250000000000,29215280038700.4296875000000000,0.4152016117446871
52,212363656200.0000000000000000,36209094157869.2031250000000000,29214215937160.4023437500000000,0.4152155743787030
53,212363656499.9999694824218750,36207999477755.6015625000000000,29213151886495.6835937500000000,0.4152295370127190
54,212363656799.9999694824218750,36206904790743.3046875000000000,29212087886708.9453125000000000,0.4152452449759869
55,212363657100.0000305175781250,36205810096817.3984375000000000,29211023937802.8828125000000000,0.4152592076100028
56,212363657400.0000000000000000,36204715395992.8046875000000000,29209960039780.4687500000000000,0.4152749155732708
57,212363657700.0000000000000000,36203620688254.6015625000000000,29208896192645.2734375000000000,0.4152888782072868
58,212363657999.9999694824218750,36202525973602.7968750000000000,29207832396399.9921875000000000,0.4153045861705547
59,212363658300.0000305175781250,36201431252052.3046875000000000,29206768651047.5937500000000000,0.4153185488045706
60,212363658600.0000305175781250,36200336523588.1953125000000000,29205704956590.6171875000000000,0.4153342567678386
61,212363658900.0000000000000000,36199241788225.3984375000000000,29204641313033.0820312500000000,0.4153482194018546
62,212363659199.9999694824218750,36198147045949.0000000000000000,29203577720377.5234375000000000,0.4153639273651225
63,212363659499.9999694824218750,36197052296759.0000000000000000,29202514178626.7773437500000000,0.4153778899991384
64,212363659800.0000305175781250,36195957540655.3984375000000000,29201450687783.6601562500000000,0.4153935979624064
65,212363660100.0000000000000000,36194862777653.1015625000000000,29200387247851.7656250000000000,0.4154075605964224
66,212363660400.0000000000000000,36193768007737.1953125000000000,29199323858833.9101562500000000,0.4154232685596903
67,212363660699.9999694824218750,36192673230907.7031250000000000,29198260520733.0781250000000000,0.4154372311937063
68,212363661000.0000305175781250,36191578447164.6015625000000000,29197197233551.6601562500000000,0.4154529391569742
69,212363661300.0000305175781250,36190483656522.7968750000000000,29196133997293.8203125000000000,0.4154669017909902
70,212363661600.0000000000000000,36189388858952.5000000000000000,29195070811961.8007812500000000,0.4154808644250061
71,212363661899.9999694824218750,36188294054483.5000000000000000,29194007677558.8671875000000000,0.4154965723882741
72,212363662199.9999694824218750,36187199243100.8984375000000000,29192944594087.4179687500000000,0.4155105350222900
73,212363662500.0000305175781250,36186104424789.8046875000000000,29191881561551.3164062500000000,0.4155262429855580
74,212363662800.0000000000000000,36185009599580.0000000000000000,29190818579953.4062500000000000,0.4155402056195739
75,212363663100.0000000000000000,36183914767456.6015625000000000,29189755649296.3515625000000000,0.4155559135828419
76,212363663399.9999694824218750,36182819928419.6015625000000000,29188692769582.9960937500000000,0.4155698762168579
77,212363663700.0000305175781250,36181725082454.1015625000000000,29187629940817.0625000000000000,0.4155855841801258
78,212363664000.0000305175781250,36180630229589.8984375000000000,29186567163001.0820312500000000,0.4155995468141417
79,212363664300.0000000000000000,36179535369797.1953125000000000,29185504436138.1875000000000000,0.4156152547774097
80,212363664599.9999694824218750,36178440503105.7968750000000000,29184441760230.9062500000000000,0.4156292174114257
81,212363664899.9999694824218750,36177345629485.8984375000000000,29183379135283.1132812500000000,0.4156449253746936
82,212363665200.0000305175781250,36176250748952.3984375000000000,29182316561297.4960937500000000,0.4156588880087095
83,212363665500.0000000000000000,36175155861505.2968750000000000,29181254038276.7304687500000000,0.4156745959719775
84,212363665800.0000000000000000,36174060967144.6015625000000000,29180191566223.8007812500000000,0.4156885586059935
85,212363666099.9999694824218750,36172966065855.4062500000000000,29179129145142.2773437500000000,0.4157042665692614
86,212363666400.0000305175781250,36171871157652.6015625000000000,29178066775034.8476562500000000,0.4157182292032773
87,212363666700.0000305175781250,36170776242536.1953125000000000,29177004455904.4921875000000000,0.4157339371665453
88,212363667000.0000000000000000,36169681320506.2031250000000000,29175942187753.7421875000000000,0.4157478998005613
89,212363667299.9999694824218750,36168586391547.7031250000000000,29174879970586.6132812500000000,0.4157636077638292
