,Time,SunDist,EarthDist,Phase
160,212369045400.0000000000000000,14886598461248.0996093750000000,19745594010196.4960937500000000,0.8605101530862763
161,212369045699.9999694824218750,14885271928149.8007812500000000,19745538668838.6523437500000000,0.8605241157202922
162,212369045999.9999694824218750,14883945371867.0996093750000000,19745483353226.8203125000000000,0.8605380783543082
163,212369046300.0000305175781250,14882618792385.0996093750000000,19745428063352.9531250000000000,0.8605520409883241
164,212369046600.0000000000000000,14881292189718.6992187500000000,19745372799208.9960937500000000,0.8605660036223401
165,212369046900.0000000000000000,14879965563853.0000000000000000,19745317560787.2109375000000000,0.8605799662563560
166,212369047199.9999694824218750,14878638914802.9003906250000000,19745262348079.6914062500000000,0.8605939288903720
167,212369047500.0000305175781250,14877312242553.5000000000000000,19745207161078.2500000000000000,0.8606078915243879
168,212369047800.0000305175781250,14875985547104.7988281250000000,19745151999775.1406250000000000,0.8606218541584040
169,212369048100.0000000000000000,14874658828456.7988281250000000,19745096864162.3085937500000000,0.8606358167924198
170,212369048399.9999694824218750,14873332086609.5000000000000000,19745041754232.0156250000000000,0.8606497794264358
171,212369048699.9999694824218750,14872005321577.8007812500000000,19744986669975.9101562500000000,0.8606637420604517
172,212369049000.0000305175781250,14870678533317.0000000000000000,19744931611386.5429687500000000,0.8606759593652157
173,212369049300.0000000000000000,14869351721871.8007812500000000,19744876578455.5703125000000000,0.8606899219992317
174,212369049600.0000000000000000,14868024887212.4003906250000000,19744821571175.3984375000000000,0.8607038846332477
175,212369049899.9999694824218750,14866698029353.6992187500000000,19744766589537.6796875000000000,0.8607178472672636
176,212369050200.0000305175781250,14865371148280.8007812500000000,19744711633534.6640625000000000,0.8607318099012795
177,212369050500.0000305175781250,14864044243993.6992187500000000,19744656703158.6054687500000000,0.8607457725352956
178,212369050800.0000000000000000,14862717316507.3007812500000000,19744601798401.1601562500000000,0.8607597351693115
179,212369051099.9999694824218750,14861390365806.6992187500000000,19744546919254.5820312500000000,0.8607736978033274
180,212369051399.9999694824218750,14860063391877.0000000000000000,19744492065710.9687500000000000,0.8607876604373433
181,212369051700.0000305175781250,14858736394748.0000000000000000,19744437237762.1289062500000000,0.8608016230713593
182,212369052000.0000000000000000,14857409374404.8007812500000000,19744382435400.3164062500000000,0.8608155857053753
183,212369052300.0000000000000000,14856082330832.5000000000000000,19744327658617.6328125000000000,0.8608278030101393
184,212369052599.9999694824218750,14854755264031.0996093750000000,19744272907405.8789062500000000,0.8608417656441552
185,212369052900.0000305175781250,14853428174030.4003906250000000,19744218181757.3125000000000000,0.8608557282781711
186,212369053200.0000305175781250,14852101060800.5996093750000000,19744163481663.7343750000000000,0.8608696909121870
187,212369053500.0000000000000000,14850773924341.6992187500000000,19744108807117.3945312500000000,0.8608836535462031
188,212369053799.9999694824218750,14849446764653.6992187500000000,19744054158110.2539062500000000,0.8608976161802190
189,212369054099.9999694824218750,14848119581736.6015625000000000,19743999534634.4140625000000000,0.8609115788142350
190,212369054400.0000305175781250,14846792375605.3007812500000000,19743944936681.6796875000000000,0.8609255414482508
191,212369054700.0000000000000000,14845465146230.0000000000000000,19743890364244.2968750000000000,0.8609395040822669
192,212369055000.0000000000000000,14844137893625.5996093750000000,19743835817314.3750000000000000,0.8609517213870308
193,212369055299.9999694824218750,14842810617792.0996093750000000,19743781295883.5664062500000000,0.8609656840210468
194,212369055600.0000305175781250,14841483318729.5000000000000000,19743726799944.2773437500000000,0.8609796466550628
195,212369055900.0000305175781250,14840155996422.9003906250000000,19743672329488.3085937500000000,0.8609936092890786
196,212369056200.0000000000000000,14838828650887.1992187500000000,19743617884507.7617187500000000,0.8610075719230946
197,212369056499.9999694824218750,14837501282107.5000000000000000,19743563464994.7421875000000000,0.8610215345571106
198,212369056799.9999694824218750,14836173890083.7988281250000000,19743509070941.0546875000000000,0.8610337518618745
199,212369057100.0000305175781250,14834846474831.0000000000000000,19743454702338.9492187500000000,0.8610477144958906
200,212369057400.0000000000000000,14833519036319.2988281250000000,19743400359180.3867187500000000,0.8610616771299064
201,212369057700.0000000000000000,14832191574563.5996093750000000,19743346041457.1640625000000000,0.8610756397639224
202,212369057999.9999694824218750,14830864089578.8007812500000000,19743291749161.6875000000000000,0.8610896023979383
203,212369058300.0000305175781250,14829536581335.1015625000000000,19743237482285.6093750000000000,0.8611035650319544
204,212369058600.0000305175781250,14828209049847.4003906250000000,19743183240821.1796875000000000,0.8611157823367183
205,212369058900.0000000000000000,14826881495100.8007812500000000,19743129024760.3632812500000000,0.8611297449707342
206,212369059199.9999694824218750,14825553917110.2011718750000000,19743074834094.9531250000000000,0.8611437076047502
207,212369059499.9999694824218750,14824226315860.6992187500000000,19743020668817.3554687500000000,0.8611576702387661
208,212369059800.0000305175781250,14822898691352.3007812500000000,19742966528919.2304687500000000,0.8611716328727822
209,212369060100.0000000000000000,14821571043599.8984375000000000,19742912414392.8203125000000000,0.8611855955067981
210,212369060400.0000000000000000,14820243372588.6015625000000000,19742858325229.9335937500000000,0.8611978128115620
211,212369060699.9999694824218750,14818915678318.4003906250000000,19742804261422.8281250000000000,0.8612117754455780
212,212369061000.0000305175781250,14817587960774.4003906250000000,19742750222963.1523437500000000,0.8612257380795939
213,212369061300.0000305175781250,14816260219986.4003906250000000,19742696209843.3125000000000000,0.8612397007136099
214,212369061600.0000000000000000,14814932455924.5996093750000000,19742642222054.9648437500000000,0.8612519180183739
215,212369061899.9999694824218750,14813604668603.9003906250000000,19742588259590.2070312500000000,0.8612658806523897
216,212369062199.9999694824218750,14812276858009.4003906250000000,19742534322441.2929687500000000,0.8612798432864058
217,212369062500.0000305175781250,14810949024156.0000000000000000,19742480410599.8867187500000000,0.8612938059204217
218,212369062800.0000000000000000,14809621167028.8007812500000000,19742426524058.0781250000000000,0.8613077685544377
219,212369063100.0000000000000000,14808293286627.7988281250000000,19742372662807.8281250000000000,0.8613199858592017
220,212369063399.9999694824218750,14806965382953.0000000000000000,19742318826841.3867187500000000,0.8613339484932175
221,212369063700.0000305175781250,14805637456019.3007812500000000,19742265016150.4140625000000000,0.8613479111272335
222,212369064000.0000305175781250,14804309505796.9003906250000000,19742211230727.0117187500000000,0.8613618737612495
223,212369064300.0000000000000000,14802981532300.6992187500000000,19742157470563.2773437500000000,0.8613740910660134
224,212369064599.9999694824218750,14801653535530.6992187500000000,19742103735651.1718750000000000,0.8613880537000295
225,212369064899.9999694824218750,14800325515486.9003906250000000,19742050025982.5000000000000000,0.8614020163340453
226,212369065200.0000305175781250,14798997472154.4003906250000000,19741996341549.5078125000000000,0.8614159789680613
227,212369065500.0000000000000000,14797669405548.0996093750000000,19741942682343.8554687500000000,0.8614281962728253
228,212369065800.0000000000000000,14796341315638.2011718750000000,19741889048357.9414062500000000,0.8614421589068412
229,212369066099.9999694824218750,14795013202469.4003906250000000,19741835439583.2734375000000000,0.8614561215408572
230,212369066400.0000305175781250,14793685065997.0000000000000000,19741781856012.2578125000000000,0.8614700841748731
231,212369066700.0000305175781250,14792356906235.9003906250000000,19741728297636.6914062500000000,0.8614823014796371
232,212369067000.0000000000000000,14791028723201.0000000000000000,19741674764448.5312500000000000,0.8614962641136531
233,212369067299.9999694824218750,14789700516862.5000000000000000,19741621256439.8867187500000000,0.8615102267476691
234,212369067599.9999694824218750,14788372287235.2988281250000000,19741567773602.5546875000000000,0.8615224440524331
235,212369067900.0000305175781250,14787044034319.4003906250000000,19741514315928.4882812500000000,0.8615364066864489
236,212369068200.0000000000000000,14785715758099.9003906250000000,19741460883409.7968750000000000,0.8615503693204649
237,212369068500.0000000000000000,14784387458591.6992187500000000,19741407476038.4296875000000000,0.8615643319544808
238,212369068799.9999694824218750,14783059135779.9003906250000000,19741354093806.4921875000000000,0.8615765492592448
239,212369069100.0000305175781250,14781730789664.5000000000000000,19741300736705.6406250000000000,0.8615905118932607
240,212369069400.0000305175781250,14780402420260.4003906250000000,19741247404727.9804687500000000,0.8616044745272767
241,212369069700.0000000000000000,14779074027552.6992187500000000,19741194097865.6054687500000000,0.8616166918320406
242,212369069999.9999694824218750,14777745611526.5000000000000000,19741140816110.3281250000000000,0.8616306544660567
243,212369070299.9999694824218750,14776417172211.5996093750000000,19741087559454.0976562500000000,0.8616446171000726
244,212369070600.0000305175781250,14775088709578.1992187500000000,19741034327889.0273437500000000,0.8616568344048365
245,212369070900.0000000000000000,14773760223656.0996093750000000,19740981121407.0585937500000000,0.8616707970388525
246,212369071200.0000000000000000,14772431714400.6015625000000000,19740927940000.0039062500000000,0.8616847596728684
247,212369071499.9999694824218750,14771103181856.4003906250000000,19740874783659.8164062500000000,0.8616969769776324
248,212369071800.0000305175781250,14769774625993.6992187500000000,19740821652378.5976562500000000,0.8617109396116484
249,212369072100.0000305175781250,14768446046812.5000000000000000,19740768546148.2968750000000000,0.8617249022456642
250,212369072400.0000000000000000,14767117444312.8007812500000000,19740715464960.8789062500000000,0.8617371195504283
251,212369072699.9999694824218750,14765788818494.5996093750000000,19740662408808.1406250000000000,0.8617510821844442
252,212369072999.9999694824218750,14764460169372.8007812500000000,19740609377682.0390625000000000,0.8617650448184603
253,212369073300.0000305175781250,14763131496917.5996093750000000,19740556371574.6757812500000000,0.8617772621232241
254,212369073600.0000000000000000,14761802801158.8007812500000000,19740503390478.0039062500000000,0.8617912247572401
255,212369073900.0000000000000000,14760474082066.5996093750000000,19740450434383.9843750000000000,0.8618051873912561
256,212369074199.9999694824218750,14759145339641.0000000000000000,19740397503284.2617187500000000,0.8618174046960201
257,212369074500.0000305175781250,14757816573911.7988281250000000,19740344597171.2460937500000000,0.8618313673300360
258,212369074800.0000305175781250,14756487784834.3007812500000000,19740291716036.4414062500000000,0.8618453299640519
259,212369075100.0000000000000000,14755158972453.2011718750000000,19740238859872.1015625000000000,0.8618575472688159
260,212369075399.9999694824218750,14753830136723.7988281250000000,19740186028670.0234375000000000,0.8618715099028318
261,212369075699.9999694824218750,14752501277675.9003906250000000,19740133222422.3203125000000000,0.8618837272075958
