,Time,SunDist,EarthDist,Phase
56,212380937400.0000000000000000,40385481142251.0000000000000000,39530829133792.1562500000000000,0.3682435282197796
57,212380937700.0000000000000000,40386551601580.2031250000000000,39532759958814.8125000000000000,0.3682313109150156
58,212380937999.9999694824218750,40387622055187.8046875000000000,39534690773246.0937500000000000,0.3682173482809997
59,212380938300.0000305175781250,40388692503073.7968750000000000,39536621577083.9296875000000000,0.3682051309762357
60,212380938600.0000305175781250,40389762945238.2031250000000000,39538552370326.2187500000000000,0.3681929136714718
61,212380938900.0000000000000000,40390833381681.0000000000000000,39540483152970.1406250000000000,0.3681789510374558
62,212380939199.9999694824218750,40391903812402.2031250000000000,39542413925015.2421875000000000,0.3681667337326919
63,212380939499.9999694824218750,40392974237401.7968750000000000,39544344686458.6953125000000000,0.3681527710986759
64,212380939800.0000305175781250,40394044656679.7968750000000000,39546275437298.2734375000000000,0.3681405537939119
65,212380940100.0000000000000000,40395115070236.2031250000000000,39548206177532.1796875000000000,0.3681283364891479
66,212380940400.0000000000000000,40396185478071.0000000000000000,39550136907158.1718750000000000,0.3681143738551320
67,212380940699.9999694824218750,40397255880199.0937500000000000,39552067626173.4375000000000000,0.3681021565503680
68,212380941000.0000305175781250,40398326276590.7031250000000000,39553998334577.6640625000000000,0.3680899392456041
69,212380941300.0000305175781250,40399396667275.6015625000000000,39555929032367.7187500000000000,0.3680759766115882
70,212380941600.0000000000000000,40400467052224.0000000000000000,39557859719541.6796875000000000,0.3680637593068242
71,212380941899.9999694824218750,40401537431465.7031250000000000,39559790396097.6015625000000000,0.3680515420020603
72,212380942199.9999694824218750,40402607805000.6953125000000000,39561721062033.3984375000000000,0.3680375793680443
73,212380942500.0000305175781250,40403678172799.2031250000000000,39563651717346.0937500000000000,0.3680253620632803
74,212380942800.0000000000000000,40404748534876.1015625000000000,39565582362035.2343750000000000,0.3680131447585163
75,212380943100.0000000000000000,40405818891246.2968750000000000,39567512996098.0000000000000000,0.3679991821245004
76,212380943399.9999694824218750,40406889241894.8984375000000000,39569443619532.4375000000000000,0.3679869648197364
77,212380943700.0000305175781250,40407959586836.7968750000000000,39571374232336.4765625000000000,0.3679747475149725
78,212380944000.0000305175781250,40409029926042.2031250000000000,39573304834507.8671875000000000,0.3679607848809565
79,212380944300.0000000000000000,40410100259540.8984375000000000,39575235426044.1015625000000000,0.3679485675761926
80,212380944599.9999694824218750,40411170587332.8984375000000000,39577166006944.4062500000000000,0.3679363502714286
81,212380944899.9999694824218750,40412240909388.3984375000000000,39579096577205.9609375000000000,0.3679223876374126
82,212380945200.0000305175781250,40413311225737.2031250000000000,39581027136826.9843750000000000,0.3679101703326487
83,212380945500.0000000000000000,40414381536379.3046875000000000,39582957685805.0781250000000000,0.3678979530278847
84,212380945800.0000000000000000,40415451841299.7968750000000000,39584888224138.3203125000000000,0.3678839903938688
85,212380946099.9999694824218750,40416522140498.7031250000000000,39586818751824.7656250000000000,0.3678717730891048
86,212380946400.0000305175781250,40417592433976.0000000000000000,39588749268861.5937500000000000,0.3678578104550889
87,212380946700.0000305175781250,40418662721761.5000000000000000,39590679775248.0390625000000000,0.3678455931503249
88,212380947000.0000000000000000,40419733003810.5000000000000000,39592610270981.5859375000000000,0.3678333758455609
89,212380947299.9999694824218750,40420803280152.7968750000000000,39594540756059.9921875000000000,0.3678194132115450
90,212380947599.9999694824218750,40421873550788.3984375000000000,39596471230481.1718750000000000,0.3678071959067810
91,212380947900.0000305175781250,40422943815702.3984375000000000,39598401694243.3359375000000000,0.3677949786020170
92,212380948200.0000000000000000,40424014074909.7031250000000000,39600332147343.3593750000000000,0.3677810159680011
93,212380948500.0000000000000000,40425084328395.4062500000000000,39602262589780.9531250000000000,0.3677687986632371
94,212380948799.9999694824218750,40426154576174.3984375000000000,39604193021553.1171875000000000,0.3677565813584732
95,212380949100.0000305175781250,40427224818231.8046875000000000,39606123442657.9296875000000000,0.3677426187244572
96,212380949400.0000305175781250,40428295054582.5000000000000000,39608053853093.2890625000000000,0.3677304014196933
97,212380949700.0000000000000000,40429365285226.5000000000000000,39609984252857.1250000000000000,0.3677181841149293
98,212380949999.9999694824218750,40430435510148.8984375000000000,39611914641946.6015625000000000,0.3677042214809134
99,212380950299.9999694824218750,40431505729364.5937500000000000,39613845020361.2734375000000000,0.3676920041761494
100,212380950600.0000305175781250,40432575942873.6015625000000000,39615775388098.4531250000000000,0.3676797868713855
101,212380950900.0000000000000000,40433646150675.9062500000000000,39617705745155.7656250000000000,0.3676658242373695
102,212380951200.0000000000000000,40434716352756.6015625000000000,39619636091531.4140625000000000,0.3676536069326055
103,212380951499.9999694824218750,40435786549130.6015625000000000,39621566427223.1562500000000000,0.3676396442985895
104,212380951800.0000305175781250,40436856739783.0000000000000000,39623496752228.4843750000000000,0.3676274269938256
105,212380952100.0000305175781250,40437926924743.6015625000000000,39625427066546.4843750000000000,0.3676152096890616
106,212380952400.0000000000000000,40438997103982.6015625000000000,39627357370174.6250000000000000,0.3676012470550457
107,212380952699.9999694824218750,40440067277514.9062500000000000,39629287663110.8281250000000000,0.3675890297502817
108,212380952999.9999694824218750,40441137445340.5000000000000000,39631217945352.8437500000000000,0.3675768124455178
109,212380953300.0000305175781250,40442207607444.5000000000000000,39633148216898.9062500000000000,0.3675628498115018
110,212380953600.0000000000000000,40443277763856.7031250000000000,39635078477746.7656250000000000,0.3675506325067379
111,212380953900.0000000000000000,40444347914547.3046875000000000,39637008727893.5937500000000000,0.3675384152019739
112,212380954199.9999694824218750,40445418059546.1015625000000000,39638938967339.0937500000000000,0.3675244525679580
113,212380954500.0000305175781250,40446488198823.2968750000000000,39640869196080.2812500000000000,0.3675122352631939
114,212380954800.0000305175781250,40447558332393.8046875000000000,39642799414115.0859375000000000,0.3675000179584300
115,212380955100.0000000000000000,40448628460257.6015625000000000,39644729621441.5468750000000000,0.3674860553244140
