,0,1
79,212361121745.64,3.1819117387249766e+18
80,212361124602.96,3.1838772743272786e+18
81,212361127460.28,3.1858454664580403e+18
82,212361130317.6,3.187816305052249e+18
83,212361133174.92,3.189789784212267e+18
84,212361136032.24,3.191765901039693e+18
85,212361138889.56,3.193744654803087e+18
86,212361141746.88,3.1957260463441254e+18
87,212361144604.2,3.1977100776547855e+18
88,212361147461.52,3.1996967515761393e+18
89,212361150318.84,3.2016860715815885e+18
90,212361153176.16,3.2036780416184356e+18
91,212361156033.48,3.2056726659921275e+18
92,212361301756.8,3.304424230086384e+18
93,212361301756.8,3.304424230086384e+18
94,212361304614.12,3.306486878553754e+18
95,212361307471.44,3.3085723235631836e+18
96,212361310328.76,3.310674921398394e+18
97,212361313186.08,3.3127906657810437e+18
98,212361316043.4,3.314916687545354e+18
99,212361318900.72,3.317050934871005e+18
100,212361321758.04,3.3191919413059845e+18
101,212361324615.36,3.321338658875563e+18
102,212361327472.68,3.3234903386192783e+18
103,212361330330.0,3.3256464452556943e+18
104,212361333187.32,3.327806596269354e+18
105,212361336044.64,3.329970518432271e+18
106,212361338901.96,3.332138016761128e+18
107,212361341759.28,3.3343089523453056e+18
108,212361344616.6,3.3364832265052186e+18
109,212361347473.92,3.338660769467832e+18
110,212361350331.24,3.3408415322637164e+18
111,212361353188.56,3.3430254809224765e+18
112,212361356045.88,3.3452125923110676e+18
113,212361358903.2,3.3474028511491773e+18
114,212361361760.52,3.3495962478669174e+18
115,212361364617.84,3.3517927770628603e+18
116,212361367475.16,3.353992436390104e+18
117,212361370332.48,3.35619522575045e+18
118,212361373189.8,3.358401146712397e+18
119,212361376047.12,3.3606102020906424e+18
120,212361378904.44,3.3628223956393057e+18
121,212361381761.76,3.365037731824997e+18
122,212361384619.08,3.3672562156590556e+18
123,212361530342.4,3.4768979121812777e+18
124,212361530342.4,3.4768979121812777e+18
125,212361533199.72,3.47919512204815e+18
126,212361536057.04,3.4815188926865623e+18
127,212361538914.36,3.4838629349845985e+18
128,212361541771.68,3.486222710523147e+18
129,212361544629.0,3.488594919384745e+18
130,212361547486.32,3.490977166196337e+18
131,212361550343.64,3.493367713277751e+18
132,212361553200.96,3.4957653001549844e+18
133,212361556058.28,3.498169012387354e+18
134,212361558915.6,3.500578186472848e+18
135,212361561772.92,3.502992340970196e+18
136,212361564630.24,3.5054111266152837e+18
137,212361567487.56,3.5078342901841546e+18
138,212361570344.88,3.5102616483049477e+18
139,212361573202.2,3.5126930684730455e+18
140,212361576059.52,3.51512847908515e+18
141,212361578916.84,3.5175678680021996e+18
142,212361581774.16,3.520011107232773e+18
143,212361584631.48,3.5224581628364063e+18
144,212361587488.8,3.524909011572709e+18
145,212361590346.12,3.5273636380989117e+18
146,212361593203.44,3.5298220329231616e+18
147,212361596060.76,3.532284190904388e+18
148,212361598918.08,3.5347501101513364e+18
149,212361601775.4,3.5372197912157696e+18
150,212361604632.72,3.539693236500824e+18
151,212361607490.04,3.542170449823178e+18
152,212361610347.36,3.5446514360852255e+18
153,212361613204.68,3.5471362010293806e+18
154,212361758928.0,3.6696933028325617e+18
155,212361758928.0,3.6696933028325617e+18
156,212361761785.32,3.672270134862378e+18
157,212361764642.64,3.6748781525150336e+18
158,212361767499.96,3.6775103302559647e+18
159,212361770357.28,3.6801615113515843e+18
160,212361773214.6,3.68282788678226e+18
161,212361776071.92,3.685506648305013e+18
162,212361778929.24,3.688195726883384e+18
163,212361781786.56,3.6908935981709276e+18
164,212361784643.88,3.6935991388828616e+18
165,212361787501.2,3.6963115210575703e+18
166,212361790358.52,3.6990301342976814e+18
167,212361793215.84,3.7017545285973386e+18
168,212361796073.16,3.7044843722951634e+18
169,212361798930.48,3.7072194211401364e+18
170,212361801787.8,3.7099594955253806e+18
171,212361804645.12,3.7127044637240315e+18
172,212361807502.44,3.715454229532671e+18
173,212361810359.76,3.718208723152267e+18
174,212361813217.08,3.720967894452979e+18
175,212361816074.4,3.7237317079979244e+18
176,212361818931.72,3.7265001393633633e+18
177,212361821789.04,3.729273172410214e+18
178,212361824646.36,3.732050797254187e+18
179,212361827503.68,3.734833008753466e+18
180,212361830361.0,3.737619805383818e+18
181,212361833218.32,3.7404111884008837e+18
182,212361836075.64,3.7432071612112896e+18
183,212361838932.96,3.7460077288954363e+18
184,212361841790.28,3.748812897845048e+18
185,212361987513.6,3.886857498550304e+18
186,212361987513.6,3.886857498550304e+18
187,212361990370.92,3.8897716391669084e+18
188,212361993228.24,3.892722719378936e+18
189,212361996085.56,3.895702870111018e+18
190,212361998942.88,3.898706213177925e+18
191,212362001800.2,3.901728335184939e+18
192,212362004657.52,3.9047659293855555e+18
193,212362007514.84,3.907816519914232e+18
194,212362010372.16,3.910878253027904e+18
195,212362013229.48,3.9139497403916703e+18
196,212362016086.8,3.917029941848082e+18
197,212362018944.12,3.920118077839563e+18
198,212362021801.44,3.9232135640013814e+18
199,212362024658.76,3.9263159623015086e+18
200,212362027516.08,3.9294249445288975e+18
201,212362030373.4,3.9325402649999206e+18
202,212362033230.72,3.935661740144461e+18
203,212362036088.04,3.9387892332218373e+18
204,212362038945.36,3.9419226428634266e+18
205,212362041802.68,3.9450618944767693e+18
206,212362044660.0,3.9482069337945175e+18
207,212362047517.32,3.9513577220288005e+18
208,212362050374.64,3.954514232221746e+18
209,212362053231.96,3.957676446488031e+18
210,212362056089.28,3.9608443539287634e+18
211,212362058946.6,3.9640179490552484e+18
212,212362061803.92,3.9671972305968584e+18
213,212362064661.24,3.9703822005925325e+18
214,212362067518.56,3.973572863691621e+18
215,212362070375.88,3.976769226615583e+18
216,212362216099.2,4.133647860839222e+18
217,212362216099.2,4.133647860839222e+18
218,212362218956.52,4.1369750703618565e+18
219,212362221813.84,4.1403464962114867e+18
220,212362224671.16,4.1437532964074634e+18
221,212362227528.48,4.1471887457439836e+18
222,212362230385.8,4.150647709042995e+18
223,212362233243.12,4.1541262740252646e+18
224,212362236100.44,4.1576214622324306e+18
225,212362238957.76,4.161131006075591e+18
226,212362241815.08,4.164653178565708e+18
227,212362244672.4,4.168186663818742e+18
228,212362247529.72,4.1717304587310546e+18
229,212362250387.04,4.1752837983508413e+18
230,212362253244.36,4.17884609922438e+18
231,212362256101.68,4.1824169163737226e+18
232,212362258959.0,4.1859959106153216e+18
233,212362261816.32,4.1895828237201157e+18
234,212362264673.64,4.1931774595136584e+18
235,212362267530.96,4.196779669477691e+18
236,212362270388.28,4.2003893417721743e+18
237,212362273245.6,4.204006392862837e+18
238,212362276102.92,4.207630761130105e+18
239,212362278960.24,4.2112624019779564e+18
240,212362281817.56,4.214901284078587e+18
241,212362284674.88,4.218547386486038e+18
242,212362287532.2,4.2222006964202624e+18
243,212362290389.52,4.225861207564081e+18
244,212362293246.84,4.229528918745177e+18
245,212362296104.16,4.23320383290699e+18
246,212362298961.48,4.236885956304825e+18
247,212362444684.8,4.4170417592200366e+18
248,212362444684.8,4.4170417592200366e+18
249,212362447542.12,4.420883739307224e+18
250,212362450399.44,4.4247793140307313e+18
251,212362453256.76,4.428718511128861e+18
252,212362456114.08,4.432693604552423e+18
253,212362458971.4,4.436698591861632e+18
254,212362461828.72,4.4407288207910226e+18
255,212362464686.04,4.4447806881823053e+18
256,212362467543.36,4.448851403234533e+18
257,212362470400.68,4.4529388034534487e+18
258,212362473258.0,4.4570412122694364e+18
259,212362476115.32,4.461157329105185e+18
260,212362478972.64,4.465286144541407e+18
261,212362481829.96,4.4694268748412626e+18
262,212362484687.28,4.473578911400811e+18
263,212362487544.6,4.477741781711375e+18
264,212362490401.92,4.481915119195033e+18
265,212362493259.24,4.48609863987093e+18
266,212362496116.56,4.4902921242822226e+18
267,212362498973.88,4.4944954034865725e+18
268,212362501831.2,4.4987083481939753e+18
269,212362504688.52,4.5029308603373353e+18
270,212362507545.84,4.507162866514083e+18
271,212362510403.16,4.5114043128676854e+18
272,212362513260.48,4.515655161088972e+18
273,212362516117.8,4.519915385295698e+18
274,212362518975.12,4.5241849695950566e+18
275,212362521832.44,4.5284639061669673e+18
276,212362524689.76,4.5327521937449324e+18
277,212362527547.08,4.537049836411446e+18
278,212362644697.2,4.705751070633401e+18
279,212362644697.2,4.705751070633401e+18
280,212362647554.52,4.710212525479335e+18
281,212362650411.84,4.714728337927925e+18
282,212362653269.16,4.719289455249806e+18
283,212362656126.48,4.723888748229877e+18
284,212362658983.8,4.728520592298538e+18
285,212362661841.12,4.733180561142597e+18
286,212362664698.44,4.737865174254599e+18
287,212362667555.76,4.742571694869193e+18
288,212362670413.08,4.747297970327283e+18
289,212362673270.4,4.752042306668274e+18
290,212362676127.72,4.756803370335969e+18
291,212362678985.04,4.761580111183708e+18
292,212362681842.36,4.76637170215504e+18
293,212362684699.68,4.771177492016596e+18
294,212362687557.0,4.775996968310624e+18
295,212362690414.32,4.780829728301798e+18
296,212362693271.64,4.785675456165253e+18
297,212362696128.96,4.790533905048966e+18
298,212362698986.28,4.79540488295911e+18
299,212362701843.6,4.800288241653323e+18
300,212362704700.92,4.805183867893959e+18
301,212362707558.24,4.810091676539858e+18
302,212362710415.56,4.815011605071659e+18
303,212362713272.88,4.819943609249851e+18
304,212362716130.2,4.824887659677525e+18
305,212362718987.52,4.829843739077108e+18
306,212362721844.84,4.834811840117117e+18
307,212362724702.16,4.839791963663036e+18
308,212362727559.48,4.844784117370151e+18
309,212362844709.6,5.040311527615248e+18
310,212362844709.6,5.040311527615248e+18
311,212362847566.92,5.045507761859815e+18
312,212362850424.24,5.050770516842089e+18
313,212362853281.56,5.056089618323323e+18
314,212362856138.88,5.061456921759825e+18
315,212362858996.2,5.066865900210974e+18
316,212362861853.52,5.072311336139424e+18
317,212362864710.84,5.07778906195617e+18
318,212362867568.16,5.083295748650871e+18
