,Theta,Phi,Psi
128,3.0589994792124653,1.7351258981107116,3.078764247974372
129,3.0648747149416464,1.5638726991769694,2.973307544049724
130,3.274563097305039,1.4040172703545752,3.2050427773011463
131,2.948812958087113,1.672221802414082,2.8574972663766522
132,3.133556505140954,1.5690576202305027,3.095434894132861
133,3.2492194600595217,1.4158297185911919,3.216770919501447
134,3.16921383310642,1.5569966743444466,3.24864681838323
135,3.157136605001319,1.5596727038537448,3.142812399601701
136,3.176931143986794,1.5585034011739596,3.2288544493693307
137,3.559662603370353,0.974630986153682,3.3176014730531023
138,3.0608002914925954,1.7325328521408139,3.0808204411199305
139,3.0648747149416464,1.5638726991769694,2.973307544049724
140,3.274563097305039,1.4040172703545752,3.2050427773011463
141,3.0898440394876814,1.5518540586845921,3.0261645604806136
142,3.109770756466324,1.5672619881026961,3.0531399794699445
143,3.2492194600595217,1.4158297185911919,3.216770919501447
144,3.2114462205659784,1.488616730626043,3.314023416961335
145,3.157136605001319,1.5596727038537448,3.142812399601701
146,3.176931143986794,1.5585034011739596,3.2288544493693307
147,4.024572219255014,0.4437038080231128,3.667780721980521
148,3.0608002914925954,1.7325328521408139,3.0808204411199305
149,3.0694963205383954,1.5642215931136325,2.9815255075451783
150,3.335589297995003,1.3563417701772869,3.271559694262897
151,3.0898440394876814,1.5518540586845921,3.0261645604806136
152,3.1570405354917748,1.4077307844145495,3.0264208272989523
153,3.1637969926422955,1.4863604254336698,3.104958697706133
154,3.2443094208982974,1.4220748051139878,3.395116235563419
155,3.157136605001319,1.5596727038537448,3.142812399601701
156,3.1538203108097878,1.5615173540239882,3.1683886308927316
157,4.204790088437032,0.2129524199890278,3.7789708981252663
158,3.0608002914925954,1.7325328521408139,3.0808204411199305
159,3.1062101385263365,1.5355396562372827,3.0215425814387245
160,3.316913395167391,1.3709319461754996,3.251203462619358
161,3.0898440394876814,1.5518540586845921,3.0261645604806136
162,3.153067589479555,1.4177204319079515,3.02603953955394
163,3.1637969926422955,1.4863604254336698,3.104958697706133
164,3.2443094208982974,1.4220748051139878,3.395116235563419
165,3.157136605001319,1.5596727038537448,3.142812399601701
166,3.164683202535353,1.5447777782975327,3.195606463163658
167,4.204790088437032,0.2129524199890278,3.7789708981252663
168,3.0608002914925954,1.7325328521408139,3.0808204411199305
169,3.0944024390772205,1.5456234433338738,3.004438809315407
170,3.316913395167391,1.3709319461754996,3.251203462619358
171,3.0898440394876814,1.5518540586845921,3.0261645604806136
172,3.153067589479555,1.4177204319079515,3.02603953955394
173,3.134174641210574,1.5100125655860053,2.998203147747538
174,3.3215095077693024,1.3031104691973574,3.58854714409497
175,3.157136605001319,1.5596727038537448,3.142812399601701
176,3.164683202535353,1.5447777782975327,3.195606463163658
177,4.204790088437032,0.2129524199890278,3.7789708981252663
178,3.0608002914925954,1.7325328521408139,3.0808204411199305
179,3.0944024390772205,1.5456234433338738,3.004438809315407
180,3.316913395167391,1.3709319461754996,3.251203462619358
181,3.1114009822727,1.417750071359647,2.9855976993438933
182,3.153067589479555,1.4177204319079515,3.02603953955394
183,3.1489229022023006,1.4987878131482062,3.018621994838946
184,3.3215095077693024,1.3031104691973574,3.58854714409497
185,3.49975268703675,1.1192522456100376,3.3508565055621053
186,3.164683202535353,1.5447777782975327,3.195606463163658
187,4.204790088437032,0.2129524199890278,3.7789708981252663
188,3.0608002914925954,1.7325328521408139,3.0808204411199305
189,3.218161733289621,1.3970893477308064,3.0907650078382645
190,3.316913395167391,1.3709319461754996,3.251203462619358
191,3.1114009822727,1.417750071359647,2.9855976993438933
192,3.156845884543277,1.3438194435149646,3.032801369990558
193,3.1473897908224258,1.528774472310202,3.0158782601606515
194,3.3625929777571275,1.2751567685322598,3.7257443722180326
195,3.8397355918453164,0.6822166405057482,3.5573016877395287
196,3.1966960441443404,1.5082193335377774,3.207298085612119
197,4.204790088437032,0.2129524199890278,3.7789708981252663
198,2.946848727909681,1.9202260709412255,2.858901736046623
199,3.218161733289621,1.3970893477308064,3.0907650078382645
200,3.473168811078012,1.1650962008394385,3.3426867733501755
201,3.2390622202651023,1.0279243080094824,3.083889658854139
202,3.156845884543277,1.3438194435149646,3.032801369990558
203,3.1473897908224258,1.528774472310202,3.0158782601606515
204,3.3164469773291594,1.3325019198429615,3.7420350072619954
205,3.8397355918453164,0.6822166405057482,3.5573016877395287
206,3.1966960441443404,1.5082193335377774,3.207298085612119
207,4.204790088437032,0.2129524199890278,3.7789708981252663
208,2.8044726253539927,2.1981409884288645,2.7474547068373543
209,3.218161733289621,1.3970893477308064,3.0907650078382645
